time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.38830702433e-07,1.28677005769e-07,9.99973314434,0.000161377219912,0.00027044642365,0.0,-2.06515510242e-05,1.16311586559e-05,-0.00889521243221,0.00758882767499,0.0122678542469,0.0,400.52330634082165,401.6373171309519,400.306343742802,400.9961946962487
0.12000000000000001,-1.04546067339e-05,6.24762726592e-06,10.0038391228,0.000535408489424,0.000744285722003,0.0,-0.000388540791555,0.000238154273205,0.145753382851,0.00337668432067,-0.00271308191044,0.0,453.8327780547317,452.62896365886536,454.7513815817874,454.4138723027196
0.18,-4.85788908317e-05,3.22878713674e-05,10.0155474151,0.000636074080966,0.000678779773376,0.0,-0.000870819380265,0.000645526394195,0.24450634743,-0.00195747178021,0.00196847562073,0.0,436.60836680849997,436.99873527164664,436.49336012704094,436.04802686229505
0.23999999999999996,-0.000117301173617,8.56133944288e-05,10.0357939421,0.00079017163016,0.000975856750463,0.0,-0.0014443699192,0.00113550875016,0.430325687179,0.0103567441205,0.0103340072284,0.0,463.21176891124975,463.86897147021466,462.8088320770189,463.776847503639
0.3,-0.000227283190144,0.000173587902787,10.06540086,0.000876936777491,0.00148534277603,0.0,-0.0022817384019,0.00184867990876,0.556517884472,-0.0298425437149,0.00452501552998,0.0,445.97983986360816,445.50507842461604,446.59481041319464,443.3043332622573
0.36000000000000004,-0.00039791821003,0.000296356873163,10.1030351409,6.28206600726,0.00186182384701,0.0,-0.00344124045123,0.00204000469124,0.697881967993,-0.0412001404904,0.00956266676973,0.0,450.01551199106865,450.4229412172541,450.59331074714896,449.6738924788278
0.4200000000000001,-0.000642388477395,0.000389381924337,10.1463504053,6.2802143022,0.00281919421617,0.0,-0.00478213556813,0.000862124092212,0.745929204726,-0.0156349280979,0.0263845369561,0.0,420.3496090606817,421.8045791435168,419.02745589735525,421.24318445624345
0.48000000000000015,-0.000982952941006,0.000387063436423,10.1906876491,6.27948003749,0.00436904483598,0.0,-0.0067034253175,-0.00100998842629,0.731987395679,-0.00618734662382,0.0246999713607,0.0,399.67998741763665,399.52665771907743,399.36684770369084,400.2276243314402
0.5400000000000001,-0.00149060216685,0.00024087549895,10.2396502146,6.27867569302,0.00544747344388,0.0,-0.0103673028345,-0.00392085728118,0.899979639301,-0.034541172133,-0.000968069933761,0.0,460.1954372839277,458.1594115820495,459.02539713630654,456.77014103566063
0.6000000000000002,-0.00224014973547,-0.000108580462992,10.2994429106,6.27702056681,0.00539346515682,0.0,-0.0146102415118,-0.00793946208885,1.09294449141,-0.0164141293052,-0.000764607584251,0.0,466.407520179067,466.42342860525395,465.48450022405444,466.90049887382736
0.6600000000000003,-0.00324362954921,-0.000734447978746,10.3708997224,6.27585912334,0.00545216735223,0.0,-0.0188390066111,-0.0130453007482,1.28874822767,-0.0260108923216,0.00425466987204,0.0,466.5916410632583,466.98326708600274,468.6105014803991,467.8640534873863
0.7200000000000003,-0.00448039182131,-0.0016634037261,10.4498694032,6.27492153286,0.00597135265381,0.0,-0.0224241162342,-0.0180332320309,1.34351030204,-0.000347352403652,0.0162508218224,0.0,423.9243847036307,424.9537307144891,422.43859954618983,424.64557876564584
0.7800000000000004,-0.00595186736728,-0.00291350115979,10.5332520344,6.27552816805,0.00725598840794,0.0,-0.0267399634004,-0.0236006365958,1.43579857334,0.025471607734,0.0301251299654,0.0,436.12981021345826,437.28699845374,434.73096773364074,436.88875287118157
0.8400000000000004,-0.00771328676909,-0.0044817727323,10.6223773593,6.27697593274,0.00939783008052,0.0,-0.0321760841927,-0.0285224379706,1.53491690439,0.0213003678476,0.0449966201561,0.0,438.1143258886752,439.3495205881972,438.7970723030453,438.45077414501094
0.9000000000000005,-0.00988146610948,-0.00633585421376,10.7207719626,6.27855725702,0.0124587678716,0.0,-0.0404366548468,-0.0331077028574,1.74460445148,0.0349187603539,0.0609334018869,0.0,471.9299693084965,473.1598219493692,472.32267840304934,473.3718044980298
0.9600000000000005,-0.0125943574147,-0.0084145765874,10.8296161406,6.2809353075,0.0157597523808,0.0,-0.0503691047448,-0.0359397886001,1.88331215851,0.0477012280109,0.0392811498329,0.0,453.06123523420075,451.31902699344164,451.2544773566764,452.285821315285
1.0200000000000005,-0.0159622024005,-0.0106077096802,10.9462397666,0.000443328041833,0.0188049751102,0.0,-0.0621796584807,-0.0368718781324,2.00393362797,0.0385711340852,0.0671979430217,0.0,446.2476319135312,448.52201645107726,446.705137524831,445.96118588692434
1.0800000000000005,-0.0200824752784,-0.0128021768197,11.0687360773,0.00322566521095,0.022821399318,0.0,-0.0755558405071,-0.0360233872409,2.07913408505,0.0586205759374,0.0664205505904,0.0,433.2613109389385,433.19942403988375,431.81902265889386,433.5082184956661
1.1400000000000006,-0.0250966839185,-0.0148846420827,11.1962246464,0.00663926716773,0.0269774213188,0.0,-0.0919908948984,-0.0330437617052,2.17030403841,0.0531951532072,0.0744234771674,0.0,437.8254321667589,438.4944277592887,438.7956006338352,438.3472584378497
1.2000000000000006,-0.0312541169919,-0.016701594651,11.3317237819,0.00953120360844,0.0310872225145,0.0,-0.113737085089,-0.0271768088653,2.34597246113,0.0356430267654,0.0527279043869,0.0,465.864177065342,464.1679443210592,465.30109295297063,463.9263002525826
